id,Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg),Predicted class
5279,-24.2739,27.4842,0.0,53.61,9.24,11.59,74.39,2.55,2.64,very low contamination
5280,-24.7694,27.3228,0.0,877.89,197.51,5.57,37.48,15.28,35.39,very high contamination
5281,-24.6831,27.4981,0.0,80.44,18.13,17.13,35.0,6.23,6.39,low contamination
5282,-24.7258,27.4361,0.0,224.18,78.01,15.5,37.73,22.01,19.31,moderate contamination
5283,-24.9356,26.6992,0.0,177.6,43.59,11.42,24.13,15.31,13.33,moderate contamination
5284,-25.0936,26.7272,0.0,112.99,49.41,9.73,47.24,7.98,6.78,moderate contamination
5285,-25.0986,26.3564,0.0,682.27,579.05,4.32,47.4,34.46,45.48,very high contamination
5286,-25.1861,26.2431,0.0,366.03,212.39,13.03,79.04,52.58,29.76,high contamination
5287,-25.3439,26.1836,0.0,192.62,83.37,13.18,58.71,34.86,19.53,moderate contamination
5288,-25.6575,25.82,0.0,73.27,27.95,8.39,30.45,10.05,5.79,low contamination
5289,-25.9075,25.78,0.0,40.56,23.09,6.14,65.77,10.92,7.06,very low contamination
5290,-25.945,25.4692,0.0,28.57,9.41,6.06,36.17,2.49,2.39,very low contamination
5291,-26.2253,25.18,0.0,23.1,11.66,8.56,96.43,4.19,2.37,very low contamination
5292,-26.5592,24.8878,0.0,41.76,21.52,4.54,19.34,11.42,3.63,very low contamination
5293,-26.5414,25.3003,0.0,47.62,28.25,7.29,21.62,10.77,6.47,very low contamination
5294,-26.8244,25.2364,0.0,35.56,14.21,16.82,74.32,5.64,2.86,very low contamination
5295,-27.1564,25.4267,0.0,86.82,25.67,5.24,31.76,12.04,6.03,moderate contamination
5296,-27.0433,25.6345,0.0,63.89,24.45,21.23,195.57,9.59,5.24,low contamination
5297,-27.1406,25.9678,0.0,55.81,17.37,14.34,58.32,10.7,2.89,very low contamination
5298,-26.7578,25.8378,0.0,62.33,23.56,6.25,27.74,10.94,6.44,very low contamination
5299,-26.3194,25.6556,0.0,37.96,20.6,10.78,42.75,9.05,7.56,very low contamination
5300,-26.0303,25.9197,0.0,38.18,13.93,6.16,17.66,5.4,5.29,very low contamination
5301,-26.3922,26.3542,0.0,68.78,24.83,26.37,100.19,8.37,10.97,very low contamination
5302,-26.5675,26.2672,0.0,53.0,17.82,8.07,33.83,6.29,7.61,very low contamination
5303,-26.7911,26.3386,0.0,40.98,24.56,6.87,26.24,24.87,9.42,very low contamination
5304,-26.6861,26.6097,0.0,87.12,55.5,9.01,56.97,30.71,18.0,moderate contamination
5305,-26.7994,26.9197,0.0,101.73,41.0,20.08,151.09,27.7,14.65,moderate contamination
5306,-26.4503,27.1131,0.0,60.6,27.27,19.8,55.29,10.95,8.34,very low contamination
5307,-26.1019,27.4433,0.0,79.66,27.12,19.84,54.42,13.14,9.44,low contamination
5308,-25.6278,26.9267,0.0,171.95,66.28,15.24,97.48,14.27,9.48,moderate contamination
5309,-25.5208,27.3881,0.0,98.45,70.52,15.66,127.27,221.84,51.54,moderate contamination
5310,-25.2542,27.265,0.0,37.23,11.6,20.4,88.92,11.81,4.74,very low contamination
5311,-24.5386,29.4787,0.862,24.49,10.92,16.45,30.7,27.16,5.3,very low contamination
5312,-31.7856,28.9481,0.0,12.27,6.43,15.14,27.29,7.19,4.58,very low contamination
5313,-31.8939,28.9472,0.0,78.62,24.38,11.49,23.86,34.21,21.82,moderate contamination
5314,-33.3178,20.3281,0.0,1.5,11.35,145.58,36.18,66.42,88.33,low contamination
5315,-33.1958,20.5881,0.0,2.39,30.26,148.91,32.36,50.38,74.54,low contamination
5316,-33.1136,21.2708,0.0,1.33,8.19,110.01,70.7,31.45,80.06,very low contamination
5317,-33.0992,20.2553,0.001,1.63,10.77,232.76,43.18,58.25,88.16,moderate contamination
5318,-33.0819,20.1564,0.001,1.57,12.79,159.4,41.65,36.41,129.47,very low contamination
5319,-33.6267,20.3075,0.001,13.49,7.04,13.41,35.35,7.35,3.18,very low contamination
5320,-33.5869,20.5,0.001,20.41,17.04,16.63,52.84,10.99,6.56,very low contamination
5321,-33.6745,20.7017,0.001,2.02,3.7,80.64,36.84,52.45,47.01,very low contamination
5322,-33.5697,20.8053,0.0,6.08,46.63,63.94,59.12,70.46,44.12,very low contamination
5323,-33.5683,20.8075,0.001,5.09,14.81,131.64,82.78,94.9,20.52,very low contamination
5324,-33.8508,20.8442,0.0,2.89,49.02,160.19,53.21,41.62,112.81,low contamination
5325,-32.7475,21.4594,0.0,2.06,11.69,266.26,32.52,38.45,108.17,moderate contamination
5326,-32.8181,21.6272,0.0,14.19,13.36,21.9,63.14,15.6,6.25,very low contamination
5327,-32.1044,21.2347,0.0,2.77,31.02,247.76,26.71,77.27,121.11,moderate contamination
5328,-32.36,21.2339,0.0,2.21,125.07,112.48,24.81,107.97,134.94,low contamination
5329,-32.4653,21.1706,0.0,2.23,44.7,116.56,45.47,75.0,100.68,low contamination
5330,-32.4011,20.7595,0.0,2.78,67.78,29.5,39.7,265.89,138.77,moderate contamination
5331,-32.6139,20.75,0.0,17.24,11.51,6.95,60.24,23.18,6.38,very low contamination
5332,-32.4333,20.1464,0.0,18.67,14.68,12.95,70.22,19.7,7.93,very low contamination
5333,-32.8944,20.6361,0.0,3.29,13.03,113.0,29.59,50.16,46.39,very low contamination
5334,-32.3264,23.735,0.0,2.46,39.02,129.6,39.83,54.65,81.11,low contamination
5335,-32.1047,23.6722,0.0,2.31,22.39,154.57,57.68,47.18,73.65,very low contamination
5336,-32.0881,23.2125,0.0,38.58,18.02,12.3,63.73,17.51,8.45,very low contamination
5337,-32.3222,23.2386,0.0,3.73,35.03,145.7,38.62,66.87,80.56,low contamination
5338,-32.6222,23.5622,0.0,3.97,4.1,100.44,36.24,34.0,53.64,very low contamination
5339,-32.9045,23.8642,0.0,2.77,2.53,117.56,58.17,43.95,70.96,very low contamination
5340,-32.9447,23.3594,0.0,42.61,17.86,16.07,70.03,17.19,8.62,very low contamination
5341,-32.5764,23.2425,0.0,28.32,14.31,11.96,57.58,14.26,5.93,very low contamination
5342,-32.5561,23.0103,0.0,58.72,23.89,15.08,82.19,26.74,11.54,very low contamination
5343,-32.8544,22.5753,0.0,3.63,24.25,140.63,49.81,52.34,82.08,low contamination
